vendor_name_key,vendor_name,variant_count,vendor_name_display,merge_confidence,merge_notes,variants_pipe
ja electric,"['J A Electric Inc.', 'J A Electric inc', 'J.A. ELECTRIC', 'J.A. ELECTRIC INC', 'J.A. ELECTRIC INC.', 'J.A. ELECTRIC Inc.', 'JA Electric Inc.']",7,,,,J A Electric Inc. | J A Electric inc | J.A. ELECTRIC | J.A. ELECTRIC INC | J.A. ELECTRIC INC. | J.A. ELECTRIC Inc. | JA Electric Inc.
associated engineering bc,"['ASSOCIATED ENGINEERING (B.C.) LIMITED', 'Associated Engineering (B.C.) Ltd', 'Associated Engineering (B.C.) Ltd.', 'Associated Engineering (BC) Ltd', 'Associated Engineering (BC) Ltd.', 'Associated Engineering BC Ltd']",6,,,,ASSOCIATED ENGINEERING (B.C.) LIMITED | Associated Engineering (B.C.) Ltd | Associated Engineering (B.C.) Ltd. | Associated Engineering (BC) Ltd | Associated Engineering (BC) Ltd. | Associated Engineering BC Ltd
wsp canada,"['WSP CANADA INC', 'WSP Canada', 'WSP Canada Inc', 'WSP Canada Inc.', 'WSP Canada Ltd.']",5,,,,WSP CANADA INC | WSP Canada | WSP Canada Inc | WSP Canada Inc. | WSP Canada Ltd.
hatch,"['HATCH', 'HATCH CORPORATION', 'HATCH LTD.', 'Hatch Inc.', 'Hatch Ltd.']",5,,,,HATCH | HATCH CORPORATION | HATCH LTD. | Hatch Inc. | Hatch Ltd.
aecom canada,"['AECOM CANADA ULC', 'AECOM Canada Ltd', 'AECOM Canada Ltd.', 'AECOM Canada ULC']",4,,,,AECOM CANADA ULC | AECOM Canada Ltd | AECOM Canada Ltd. | AECOM Canada ULC
ramboll canada,"['RAMBOLL CANADA INC.', 'Ramboll Canada Inc', 'Ramboll Canada Inc.', 'Ramboll Canada, Inc.']",4,,,,"RAMBOLL CANADA INC. | Ramboll Canada Inc | Ramboll Canada Inc. | Ramboll Canada, Inc."
ghd,"['GHD', 'GHD LIMITED', 'GHD Limited', 'GHD Ltd.']",4,,,,GHD | GHD LIMITED | GHD Limited | GHD Ltd.
cdw canada,"['CDW CANADA CORP.', 'CDW Canada Corp', 'CDW Canada Corp.', 'CDW Canada Corporation']",4,,,,CDW CANADA CORP. | CDW Canada Corp | CDW Canada Corp. | CDW Canada Corporation
sancat excavating,"['SANCAT EXCAVATING LTD', 'Sancat Excavating', 'Sancat Excavating Ltd', 'Sancat Excavating Ltd.']",4,,,,SANCAT EXCAVATING LTD | Sancat Excavating | Sancat Excavating Ltd | Sancat Excavating Ltd.
believeco partners,"['BelieveCo Partners Ltd', 'Believeco:Partners Ltd', 'Believeco:Partners Ltd.']",3,,,,BelieveCo Partners Ltd | Believeco:Partners Ltd | Believeco:Partners Ltd.
bd hall constructors,"['BD HALL CONSTRUCTORS CORP', 'BD Hall Constructors', 'BD Hall Constructors Corp.']",3,,,,BD HALL CONSTRUCTORS CORP | BD Hall Constructors | BD Hall Constructors Corp.
ross morrison electrical,"['ROSS MORRISON ELECTRICAL LTD.', 'Ross Morrison Electrical Ltd', 'Ross Morrison Electrical Ltd.']",3,,,,ROSS MORRISON ELECTRICAL LTD. | Ross Morrison Electrical Ltd | Ross Morrison Electrical Ltd.
