competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean,vendor_name_key,vendor_name_display,vendor_merge_confidence,vendor_display_source,awarded_date_parsed,awarded_date_parse_failed
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Norda Stelo Inc.,"$ 149,056.00",Yes,2023,False,True,vendor_specific,False,True,149056.0,RFP,Norda Stelo Inc.,norda stelo,Norda Stelo Inc.,AUTO_HIGH,lookup_high,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,WSP Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,WSP Canada Inc.,wsp canada,WSP Canada Inc.,REVIEW,lookup_review,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,PricewaterhouseCoopers LLP,,No,2023,True,False,not_awarded,False,False,,RFP,PricewaterhouseCoopers LLP,pricewaterhousecoopers,PricewaterhouseCoopers LLP,SINGLE,lookup_single,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,GHD Limited,,No,2023,True,False,not_awarded,False,False,,RFP,GHD Limited,ghd,GHD,AUTO_HIGH,lookup_high,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Hatch Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Hatch Ltd.,hatch,HATCH,REVIEW,lookup_review,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Ernst & Young LLP,,No,2023,True,False,not_awarded,False,False,,RFP,Ernst & Young LLP,ernst young,Ernst & Young LLP,SINGLE,lookup_single,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,BBA Engineering Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,BBA Engineering Ltd.,bba engineering,BBA Engineering Ltd.,SINGLE,lookup_single,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Aker Solutions Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Aker Solutions Canada Inc.,aker solutions canada,Aker Solutions Canada Inc.,SINGLE,lookup_single,2023-01-04,False
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Sacre-Davey Engineering,,No,2023,True,False,not_awarded,False,False,,RFP,Sacre-Davey Engineering,sacre davey engineering,Sacre‐Davey Engineering,AUTO_HIGH,lookup_high,2023-01-04,False
22-445,ITQ,2022 Solid Waste Facilities Customer Surveys,2023-01-04,Leger Marketing Alberta Inc.,"$ 89,653.00",Yes,2023,False,True,vendor_specific,False,True,89653.0,ITQ,Leger Marketing Alberta Inc.,leger marketing alberta,Leger Marketing Alberta Inc.,SINGLE,lookup_single,2023-01-04,False
22-445,ITQ,2022 Solid Waste Facilities Customer Surveys,2023-01-04,Tetra Tech,,No,2023,True,False,not_awarded,False,False,,ITQ,Tetra Tech,tetra tech,Tetra Tech,SINGLE,lookup_single,2023-01-04,False
22-391,RFSO,Graphic Design Services,2023-01-10,Ion Design Inc.,"$ 600,000.00",Yes,2023,False,True,group_framework_anchor,True,True,600000.0,RFSO,Ion Design Inc.,ion design,Ion Design Inc.,SINGLE,lookup_single,2023-01-10,False
