page_num,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
1,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
2,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
3,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
4,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
5,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
6,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
7,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
8,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
9,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
10,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
11,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
12,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
