page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
1,0,3,ACCEPTED,7,OK,23-342,ITT,Dorman Point Trail Improvements,2-Jan-24,Skylark Management Corp.,NA,No,'23-342'
1,0,4,ACCEPTED,7,OK,23-342,ITT,Dorman Point Trail Improvements,2-Jan-24,Park Solutions Inc.,NA,No,'23-342'
1,0,7,ACCEPTED,7,OK,23-085,RFP,South Surrey Supply Main Bridge Support Modifications,3-Jan-24,Seismic 2000 Construction Ltd.,NA,No,'23-085'
1,0,11,ACCEPTED,7,OK,23-004,ITT,Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section,10-Jan-24,Jacob Bros. Construction Inc.,NA,No,'23-004'
1,0,12,ACCEPTED,7,OK,23-004,ITT,Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section,10-Jan-24,Sandpiper Contracting LLP,NA,No,'23-004'
1,0,14,ACCEPTED,7,OK,23-287,RFP,Coquitlam Landfill Flare Station Design Services,17-Jan-24,GHD Ltd.,NA,No,'23-287'
1,0,15,ACCEPTED,7,OK,23-287,RFP,Coquitlam Landfill Flare Station Design Services,17-Jan-24,Sperling Hansen Associates,NA,No,'23-287'
1,0,17,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,Flocor Inc.,NA,No,'23-289'
1,0,18,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,EMCO Water Works,NA,No,'23-289'
1,0,19,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,Andrew Sheret Ltd.,NA,No,'23-289'
