page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr,artifact_description
1,0,10,ACCEPTED,7,OK,23-004,ITT,Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section,10-Jan-24,NorLand Ltd.,"$ 4,021,642",Yes,'23-004',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section'"
1,0,11,ACCEPTED,7,OK,23-004,ITT,Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section,10-Jan-24,Jacob Bros. Construction Inc.,NA,No,'23-004',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section'"
1,0,12,ACCEPTED,7,OK,23-004,ITT,Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section,10-Jan-24,Sandpiper Contracting LLP,NA,No,'23-004',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply and Installation of Glenbrook Combined Trunk Sewer Replacement – Kingsway Section'"
1,0,16,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,Iconix Waterworks LP,"$ 403,920",Yes,'23-289',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project'"
1,0,17,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,Flocor Inc.,NA,No,'23-289',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project'"
1,0,18,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,EMCO Water Works,NA,No,'23-289',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project'"
1,0,19,ACCEPTED,7,OK,23-289,ITT,Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project,17-Jan-24,Andrew Sheret Ltd.,NA,No,'23-289',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply & Delivery of Ductile Iron Pipe for Central Park Main No. 2 – Phase 4 – 10th Avenue to Westburnco Project'"
2,0,11,ACCEPTED,7,OK,23-372,RFP,Consulting Services for Studying the Pre-Feasibility of Hydrogen Production from Hydropower at Cleveland Dam,14-Feb-24,Sacre‐Davey Engineering,NA,No,'23-372',"field=vendor_name, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Sacre‐Davey Engineering'"
2,0,17,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,T&T Power Group,"$ 320,598",Yes,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,18,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,Arrow Speed Controls Ltd.,NA,No,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,19,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,Stellar Power & Control Solutions,NA,No,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,20,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,enCompass Solutions Group,NA,No,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,21,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,Wesco Distribution,NA,No,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,22,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,HSL Automation Ltd.,NA,No,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,23,ACCEPTED,7,OK,23-300,RFP,Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project,20-Feb-24,Celco Controls,NA,No,'23-300',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Coquitlam Water Treatment Plant – Ozone Sidestream Injection ‐ Variable Frequency Drive (VFD) Replacement Project'"
2,0,31,ACCEPTED,7,OK,24-068,SS/NOIC,Supply & Install of a 32” single line‐stop on existing steel Water main in South Burnaby,22-Feb-24,Pacific Flow Control Ltd.,"$ 154,185",Yes,'24-068',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Supply & Install of a 32” single line‐stop on existing steel Water main in South Burnaby'"
3,0,21,ACCEPTED,7,OK,23-377,ITT,GOX Filters Upgrade at Coquitlam Water Treatment Plant (“CWTP”),4-Apr-24,Mitchell Installations Ltd.,"$ 246,032",Yes,'23-377',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='GOX Filters Upgrade at Coquitlam Water Treatment Plant (“CWTP”)'"
3,0,24,ACCEPTED,7,OK,23-156,RFP,Construction Management Services for the Installation of Central Park Main No.2 ‐ Phase 2A – Macpherson Avenue to Griffiths Avenue,5-Apr-24,RAM Engineering Ltd.,"$ 1,058,925",Yes,'23-156',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Construction Management Services for the Installation of Central Park Main No.2 ‐ Phase 2A – Macpherson Avenue to Griffiths Avenue'"
4,0,23,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Signia Construction Ltd.,"$ 8,160,895",Yes,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,24,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Centra Construction Group Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,25,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,New City Contracting Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,26,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,RJS Construction Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,27,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Pro-Can Construction Group Corp.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,28,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Roma Building Restoration Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,29,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,All Round Home Improvements & Restorations Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,30,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Eggert Projects Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
4,0,31,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Prostar Contracting,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
