page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
1,0,0,HEADER,7,OK,"The following contracts have been awarded by the Metro Vancouver. Contracts have been entered into with the vendors offering the best value to the Corporation determined in accordance with the evaluation criteria, factors or methods previously disclosed in the public solicitation documents. RESULTS OF OPEN PUBLIC COMPETITIVE PROCUREMENTS - AWARDS IN 2024",,,,,,,"'The following contracts have been awarded by the Metro Vancouver. Contracts have been entered into with the vendors offering the best value to the Corporation determined in accordance with the\nevaluation criteria, factors or methods previously disclosed in the public solicitation documents.\nRESULTS OF OPEN PUBLIC COMPETITIVE PROCUREMENTS - AWARDS IN 2024'"
1,0,1,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
2,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
3,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
4,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
5,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
6,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
7,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
8,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
9,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
10,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
11,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
12,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
13,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
14,0,0,HEADER,7,OK,Competition #,Competition Type,Competition Description,Awarded Date,Vendor Name,Awarded Amount,Awarded,'Competition #'
