page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
1,0,2,ACCEPTED,7,OK,24-316,RFP,Cleveland Dam and Seymour Falls Dam Safety Boom Condition Assessments,6-Jan-25,Klohn Crippen Berger Ltd.,"$ 1 09,177",Yes,'24-316'
1,0,3,ACCEPTED,7,OK,24-316,RFP,Cleveland Dam and Seymour Falls Dam Safety Boom Condition Assessments,6-Jan-25,AtkinRealis,,No,'24-316'
1,0,4,ACCEPTED,7,OK,24-316,RFP,Cleveland Dam and Seymour Falls Dam Safety Boom Condition Assessments,6-Jan-25,KGS Group,,No,'24-316'
1,0,5,ACCEPTED,7,OK,24-316,RFP,Cleveland Dam and Seymour Falls Dam Safety Boom Condition Assessments,6-Jan-25,Revelstoke Design Services Ltd.,,No,'24-316'
1,0,6,ACCEPTED,7,OK,24-316,RFP,Cleveland Dam and Seymour Falls Dam Safety Boom Condition Assessments,6-Jan-25,WSP Canada Inc.,,No,'24-316'
1,0,7,ACCEPTED,7,OK,24-430,RFP,AIR EMISSIONS AND EMISSION CONTROL TECHNOLOGIES ASSESSMENT,7-Jan-25,Envirochem Services Inc.,"$ 94,350",Yes,'24-430'
1,0,8,ACCEPTED,7,OK,24-430,RFP,AIR EMISSIONS AND EMISSION CONTROL TECHNOLOGIES ASSESSMENT,7-Jan-25,Ramboll Canada Inc.,,No,'24-430'
1,0,9,ACCEPTED,7,OK,24-437,RFP,2025 Fraser River ADCP Study,7-Jan-25,ASL Environmental Sciences Inc.,"$ 90,000",Yes,'24-437'
1,0,10,ACCEPTED,7,OK,24-437,RFP,2025 Fraser River ADCP Study,7-Jan-25,WSP Canada Inc.,,No,'24-437'
1,0,11,ACCEPTED,7,OK,24-466,RFP,Lynn Headwaters Regional Park Engineering Design,7-Jan-25,Dunne Enterprises Ltd.,"$ 1 39,230",Yes,'24-466'
1,0,12,ACCEPTED,7,OK,24-466,RFP,Lynn Headwaters Regional Park Engineering Design,7-Jan-25,Entuitive,,No,'24-466'
1,0,13,ACCEPTED,7,OK,24-466,RFP,Lynn Headwaters Regional Park Engineering Design,7-Jan-25,ISL Engineering & Land Services Ltd.,,No,'24-466'
1,0,14,ACCEPTED,7,OK,24-466,RFP,Lynn Headwaters Regional Park Engineering Design,7-Jan-25,Parsons Inc.,,No,'24-466'
1,0,15,ACCEPTED,7,OK,24-466,RFP,Lynn Headwaters Regional Park Engineering Design,7-Jan-25,Scouten & Associates Engineering Ltd.,,No,'24-466'
1,0,16,ACCEPTED,7,OK,24-466,RFP,Lynn Headwaters Regional Park Engineering Design,7-Jan-25,Stantec Consulting Ltd.,,No,'24-466'
1,0,17,ACCEPTED,7,OK,23-233,RFP,Consulting Engineering Services for North Surrey Interceptor Roebuck Section (NSR) Replacement,8-Jan-25,WSP Canada Inc.,"$ 9 00,187",Yes,'23-233'
1,0,18,ACCEPTED,7,OK,24-563,SS/NOIC,BASIS Software Subscription and Support,8-Jan-25,Corporate Services LLC,"$ 2 00,784",Yes,'24-563'
1,0,19,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,Aplin&Martin,"$ 2 ,300,000",Yes,'23-409'
1,0,20,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,GeoVerra Inc.,,Yes,'23-409'
1,0,21,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,R.F. Binnie& Associates Ltd.,,Yes,'23-409'
1,0,22,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,Underhill Geomatics,,Yes,'23-409'
1,0,23,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,Coywolf Technologies Inc.,,No,'23-409'
1,0,24,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,Terra Remote Sensing Inc.,,No,'23-409'
1,0,25,ACCEPTED,7,OK,23-409,RFSQ,Survey and Geomatic Services,10-Jan-25,Delta North Geomatics,,No,'23-409'
