page_num,table_index,rows_in_table,accepted,skipped_empty,header_rows,col_count_mismatches,suspicious_col00,nonstandard_comp,table_found
1,0,41,39,0,2,0,0,0,YES
2,0,47,46,0,1,0,0,0,YES
3,0,72,71,0,1,0,0,0,YES
4,0,45,44,0,1,0,0,0,YES
5,0,52,51,0,1,0,0,0,YES
6,0,54,53,0,1,0,0,0,YES
7,0,36,35,0,1,0,0,0,YES
8,0,58,57,0,1,0,0,0,YES
9,0,45,44,0,1,0,0,0,YES
10,0,55,54,0,1,0,0,0,YES
11,0,53,52,0,1,0,0,0,YES
12,0,42,41,0,1,0,0,1,YES
13,0,54,53,0,1,0,0,0,YES
14,0,52,51,0,1,0,0,3,YES
15,0,41,40,0,1,0,0,0,YES
16,0,43,42,0,1,0,0,0,YES
17,0,53,52,0,1,0,0,2,YES
18,0,49,48,0,1,0,0,0,YES
19,0,38,37,0,1,0,0,0,YES
