page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr,comp_format
1,0,5,ACCEPTED,7,OK,26-0115,RFQ,Pineridge Stairs Repair - Kanaka Creek,9-Jan-26,PARK SOLUTIONS INC,"$ 79,759",Y,'26-0115',four_digit_XX-XXXX
1,0,6,ACCEPTED,7,OK,26-0115,RFQ,Pineridge Stairs Repair - Kanaka Creek,9-Jan-26,COQUITLAM RIDGE CONSTRUCTORS LTD,,N,'26-0115',four_digit_XX-XXXX
1,0,17,ACCEPTED,7,OK,26-0132,DA,Gilbert Trunk Sewer - Emergency Repairs,22-Jan-26,TYAM EXCAVATION & SHORING LTD.,"$ 381,724",Y,'26-0132',four_digit_XX-XXXX
1,0,41,ACCEPTED,7,OK,26-0226,DA,Annacis Island Wastewater Treatment (AIWWTP) Plant Bar Screen No.1 Refurbishment,12-Feb-26,VEOLIA WATER TECHNOLOGIES & SOLUTIONS CANADA GP,"$ 527,000",Y,'26-0226',four_digit_XX-XXXX
3,0,7,ACCEPTED,7,OK,26-0141,RFQ,PVCO Watermain Piping and Ductile Iron Appurtenances for NW Interceptor,25-Feb-26,ICONIX WATERWORKS LIMITED PARTNERSHIP,"$ 190,076",Y,'26-0141',four_digit_XX-XXXX
3,0,8,ACCEPTED,7,OK,26-0141,RFQ,PVCO Watermain Piping and Ductile Iron Appurtenances for NW Interceptor,25-Feb-26,EMCO Waterworks,,N,'26-0141',four_digit_XX-XXXX
3,0,9,ACCEPTED,7,OK,26-0141,RFQ,PVCO Watermain Piping and Ductile Iron Appurtenances for NW Interceptor,25-Feb-26,FLOCOR,,N,'26-0141',four_digit_XX-XXXX
3,0,10,ACCEPTED,7,OK,26-0251,RFQ,LYNN HEADWATERS - Varley Trail B78 Walkway Replacement,25-Feb-26,PARK SOLUTIONS INC,"$ 189,665",Y,'26-0251',four_digit_XX-XXXX
3,0,11,ACCEPTED,7,OK,26-0251,RFQ,LYNN HEADWATERS - Varley Trail B78 Walkway Replacement,25-Feb-26,PLATINUM STONE CONTRACTING,,N,'26-0251',four_digit_XX-XXXX
3,0,12,ACCEPTED,7,OK,26-0251,RFQ,LYNN HEADWATERS - Varley Trail B78 Walkway Replacement,25-Feb-26,SKYLARK MANAGEMENT CORP,,N,'26-0251',four_digit_XX-XXXX
